nuts_code,countryname,nuts2_name
AL01,Albania,Veri
AL02,Albania,Qender
AL03,Albania,Jug
ALXX,Albania,Extra-Regio NUTS 2
AT11,Austria,Burgenland
AT12,Austria,Niederösterreich
AT13,Austria,Wien
AT21,Austria,Kärnten
AT22,Austria,Steiermark
AT31,Austria,Oberösterreich
AT32,Austria,Salzburg
AT33,Austria,Tirol
AT34,Austria,Vorarlberg
ATXX,Austria,Extra-Regio NUTS 2
BE10,Belgium,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest
BE21,Belgium,Prov. Antwerpen
BE22,Belgium,Prov. Limburg (BE)
BE23,Belgium,Prov. Oost-Vlaanderen
BE24,Belgium,Prov. Vlaams-Brabant
BE25,Belgium,Prov. West-Vlaanderen
BE31,Belgium,Prov. Brabant Wallon
BE32,Belgium,Prov. Hainaut
BE33,Belgium,Prov. Liège
BE34,Belgium,Prov. Luxembourg (BE)
BE35,Belgium,Prov. Namur
BEXX,Belgium,Extra-Regio NUTS 2
BG31,Bulgaria,Северозападен
BG32,Bulgaria,Северен централен
BG33,Bulgaria,Североизточен
BG34,Bulgaria,Югоизточен
BG41,Bulgaria,Югозападен
BG42,Bulgaria,Южен централен
BGXX,Bulgaria,Extra-Regio NUTS 2
HR02,Croatia,Panonska Hrvatska
HR03,Croatia,Jadranska Hrvatska
HR05,Croatia,Grad Zagreb
HR06,Croatia,Sjeverna Hrvatska
HRXX,Croatia,Extra-Regio NUTS 2
CY00,Cyprus,Κύπρος
CYXX,Cyprus,Extra-Regio NUTS 2
CZ01,Czechia,Praha
CZ02,Czechia,Střední Čechy
CZ03,Czechia,Jihozápad
CZ04,Czechia,Severozápad
CZ05,Czechia,Severovýchod
CZ06,Czechia,Jihovýchod
CZ07,Czechia,Střední Morava
CZ08,Czechia,Moravskoslezsko
CZXX,Czechia,Extra-Regio NUTS 2
DK01,Denmark,Hovedstaden
DK02,Denmark,Sjælland
DK03,Denmark,Syddanmark
DK04,Denmark,Midtjylland
DK05,Denmark,Nordjylland
DKXX,Denmark,Extra-Regio NUTS 2
EE00,Estonia,Eesti
EEXX,Estonia,Extra-Regio NUTS 2
FI19,Finland,Länsi-Suomi
FI1B,Finland,Helsinki-Uusimaa
FI1C,Finland,Etelä-Suomi
FI1D,Finland,Pohjois- ja Itä-Suomi
FI20,Finland,Åland
FIXX,Finland,Extra-Regio NUTS 2
FR10,France,Ile-de-France
FRB0,France,Centre — Val de Loire
FRC1,France,Bourgogne
FRC2,France,Franche-Comté
FRD1,France,Basse-Normandie
FRD2,France,Haute-Normandie
FRE1,France,Nord-Pas de Calais
FRE2,France,Picardie
FRF1,France,Alsace
FRF2,France,Champagne-Ardenne
FRF3,France,Lorraine
FRG0,France,Pays de la Loire
FRH0,France,Bretagne
FRI1,France,Aquitaine
FRI2,France,Limousin
FRI3,France,Poitou-Charentes
FRJ1,France,Languedoc-Roussillon
FRJ2,France,Midi-Pyrénées
FRK1,France,Auvergne
FRK2,France,Rhône-Alpes
FRL0,France,Provence-Alpes-Côte d’Azur
FRM0,France,Corse
FRY1,France,Guadeloupe
FRY2,France,Martinique
FRY3,France,Guyane
FRY4,France,La Réunion
FRY5,France,Mayotte
FRXX,France,Extra-Regio NUTS 2
DE11,Germany,Stuttgart
DE12,Germany,Karlsruhe
DE13,Germany,Freiburg
DE14,Germany,Tübingen
DE21,Germany,Oberbayern
DE22,Germany,Niederbayern
DE23,Germany,Oberpfalz
DE24,Germany,Oberfranken
DE25,Germany,Mittelfranken
DE26,Germany,Unterfranken
DE27,Germany,Schwaben
DE30,Germany,Berlin
DE40,Germany,Brandenburg
DE50,Germany,Bremen
DE60,Germany,Hamburg
DE71,Germany,Darmstadt
DE72,Germany,Gießen
DE73,Germany,Kassel
DE80,Germany,Mecklenburg-Vorpommern
DE91,Germany,Braunschweig
DE92,Germany,Hannover
DE93,Germany,Lüneburg
DE94,Germany,Weser-Ems
DEA1,Germany,Düsseldorf
DEA2,Germany,Köln
DEA3,Germany,Münster
DEA4,Germany,Detmold
DEA5,Germany,Arnsberg
DEB1,Germany,Koblenz
DEB2,Germany,Trier
DEB3,Germany,Rheinhessen-Pfalz
DEC0,Germany,Saarland
DED2,Germany,Dresden
DED4,Germany,Chemnitz
DED5,Germany,Leipzig
DEE0,Germany,Sachsen-Anhalt
DEF0,Germany,Schleswig-Holstein
DEG0,Germany,Thüringen
DEXX,Germany,Extra-Regio NUTS 2
EL30,Greece,Aττική
EL41,Greece,Βόρειο Αιγαίο
EL42,Greece,Νότιο Αιγαίο
EL43,Greece,Κρήτη
EL51,Greece,"Aνατολική Μακεδονία, Θράκη"
EL52,Greece,Κεντρική Μακεδονία
EL53,Greece,Δυτική Μακεδονία
EL54,Greece,Ήπειρος
EL61,Greece,Θεσσαλία
EL62,Greece,Ιόνια Νησιά
EL63,Greece,Δυτική Ελλάδα
EL64,Greece,Στερεά Ελλάδα
EL65,Greece,Πελοπόννησος
ELXX,Greece,Extra-Regio NUTS 2
HU11,Hungary,Budapest
HU12,Hungary,Pest
HU21,Hungary,Közép-Dunántúl
HU22,Hungary,Nyugat-Dunántúl
HU23,Hungary,Dél-Dunántúl
HU31,Hungary,Észak-Magyarország
HU32,Hungary,Észak-Alföld
HU33,Hungary,Dél-Alföld
HUXX,Hungary,Extra-Regio NUTS 2
IS00,Iceland,Ísland
ISXX,Iceland,Extra-Regio NUTS 2
IE04,Ireland,Northern and Western
IE05,Ireland,Southern
IE06,Ireland,Eastern and Midland
IEXX,Ireland,Extra-Regio NUTS 2
ITC1,Italy,Piemonte
ITC2,Italy,Valle d’Aosta/Vallée d’Aoste
ITC3,Italy,Liguria
ITC4,Italy,Lombardia
ITF1,Italy,Abruzzo
ITF2,Italy,Molise
ITF3,Italy,Campania
ITF4,Italy,Puglia
ITF5,Italy,Basilicata
ITF6,Italy,Calabria
ITG1,Italy,Sicilia
ITG2,Italy,Sardegna
ITH1,Italy,Provincia Autonoma di Bolzano/Bozen
ITH2,Italy,Provincia Autonoma di Trento
ITH3,Italy,Veneto
ITH4,Italy,Friuli-Venezia Giulia
ITH5,Italy,Emilia-Romagna
ITI1,Italy,Toscana
ITI2,Italy,Umbria
ITI3,Italy,Marche
ITI4,Italy,Lazio
