munisid,muni_name,autonomia,province,adj_impact,gdppc,religious,c_secondplus,trust2,log_pop,age,class_upper,civil_married,longitude,latitude,dist_river,dist_sea
1,Solórzano,6,39,0,19052.291015625,NA,0.5171000361442566,NA,6.909753322601318,NA,NA,NA,-3.5910403728485107,43.36333084106445,71.45477294921875,14.365084648132324
2,Suances,6,39,0,24402.396484375,1,0.6403999924659729,0.06630963087081909,9.057188987731934,45.882354736328125,0.20588235557079315,0.5833333134651184,-4.056727886199951,43.4132194519043,62.551029205322266,3.0550918579101562
3,Abla,1,4,0.05128205195069313,18037.376953125,NA,0.445900022983551,NA,7.262628555297852,NA,NA,NA,-2.766765594482422,37.16239929199219,99.90093231201172,53.12794494628906
4,Abrucena,1,4,0.012820512987673283,17386.7265625,NA,0.38040000200271606,NA,7.140452861785889,NA,NA,NA,-2.826157808303833,37.13060760498047,102.97994995117188,52.56172561645508
5,Adra,1,4,0.07692307978868484,16890.08203125,1.5254237651824951,0.4172000288963318,0.38752254843711853,10.117873191833496,45.19230651855469,0.032258063554763794,0.6666666865348816,-3.0505475997924805,36.7722282409668,151.70318603515625,3.507817268371582
6,Collado del Mirón,8,5,0,20114.134765625,NA,0.25360000133514404,NA,3.5835189819335938,NA,NA,NA,-5.362196445465088,40.55095291137695,104.13050079345703,371.2873229980469
7,Albánchez,1,4,0,18507.912109375,NA,0.4945000112056732,NA,6.648984432220459,46.55555725097656,0,NA,-2.160723924636841,37.284847259521484,120.64192962646484,40.6090202331543
8,Alboloduy,1,4,0.03846153989434242,17904.970703125,2.0714285373687744,0.40230000019073486,NA,6.464588165283203,52.71428680419922,0.0714285746216774,0.7142857313156128,-2.62850284576416,37.06249237060547,117.51457214355469,34.8945198059082
9,Alcudia de Monteagud,1,4,0.05128205195069313,19965.9453125,NA,0.38270002603530884,NA,4.9416422843933105,NA,NA,NA,-2.255053997039795,37.234073638916016,118.15923309326172,48.87105941772461
10,Albox,1,4,0,16422.52734375,1.4583333730697632,0.5311999917030334,NA,9.36862564086914,48.79069900512695,0.1190476194024086,0.6666666865348816,-2.136018753051758,37.450016021728516,106.26703643798828,48.75406265258789
11,Alicún,1,4,0,19704.716796875,NA,0.538100004196167,NA,5.476463317871094,NA,NA,NA,-2.6037416458129883,36.949851989746094,133.22303771972656,19.040771484375
12,Almería,1,4,0.41025641560554504,15612.537109375,1.4709302186965942,0.6425999999046326,0.06175355240702629,12.172262191772461,46.05772399902344,0.1996268630027771,0.5028571486473083,-2.3423051834106445,36.87567901611328,153.88600158691406,5.195550441741943
13,Alcolea,1,4,0.03846153989434242,17679.9140625,NA,0.36640000343322754,NA,6.758094310760498,NA,NA,NA,-2.990375518798828,36.93867874145508,128.39883422851562,26.676599502563477
14,Alcóntar,1,4,0,17985.494140625,NA,0.4228000044822693,NA,6.359573841094971,NA,NA,NA,-2.62345290184021,37.313602447509766,85.455291748046875,68.23250579833984
15,Comunidad de Barbadillo de Herreros y Vallejimeno (E.L.M.),8,9,0,NA,NA,NA,NA,NA,NA,NA,NA,-3.1950266361236572,42.13032531738281,37.53105163574219,181.174072265625
16,"Comunidad de 09076, 09290, 09578, 09606 y 09822",8,9,0,NA,NA,NA,NA,NA,NA,NA,NA,-3.3079400062561035,41.99564743041992,42.327205657958984,202.80526733398438
17,Alhabia,1,4,0.012820512987673283,19199.548828125,2.142857074737549,0.4081000089645386,NA,6.523562431335449,49.85714340209961,0,NA,-2.5606236457824707,36.9940071105957,129.0210723876953,23.630146026611328
18,Alhama de Almería,1,4,0.012820512987673283,18188.572265625,NA,0.5209000110626221,NA,8.230310440063477,NA,NA,NA,-2.575115203857422,36.94546890258789,134.80686950683594,17.66098976135254
