unit,age,geo,time,values
NR,TOTAL,AT11,2009-01-01,1.27
NR,TOTAL,AT12,2009-01-01,1.42
NR,TOTAL,AT13,2009-01-01,1.37
NR,TOTAL,AT21,2009-01-01,1.37
NR,TOTAL,AT22,2009-01-01,1.32
NR,TOTAL,AT31,2009-01-01,1.51
NR,TOTAL,AT32,2009-01-01,1.39
NR,TOTAL,AT33,2009-01-01,1.38
NR,TOTAL,AT34,2009-01-01,1.51
NR,TOTAL,BE10,2009-01-01,2.1
NR,TOTAL,BE21,2009-01-01,1.91
NR,TOTAL,BE22,2009-01-01,1.66
NR,TOTAL,BE23,2009-01-01,1.8
NR,TOTAL,BE24,2009-01-01,1.74
NR,TOTAL,BE25,2009-01-01,1.77
NR,TOTAL,BE31,2009-01-01,1.83
NR,TOTAL,BE32,2009-01-01,1.83
NR,TOTAL,BE33,2009-01-01,1.83
NR,TOTAL,BE34,2009-01-01,1.75
NR,TOTAL,BE35,2009-01-01,1.84
NR,TOTAL,BG31,2009-01-01,1.86
NR,TOTAL,BG32,2009-01-01,1.59
NR,TOTAL,BG33,2009-01-01,1.73
NR,TOTAL,BG34,2009-01-01,1.95
NR,TOTAL,BG41,2009-01-01,1.47
NR,TOTAL,BG42,2009-01-01,1.69
NR,TOTAL,CH01,2009-01-01,1.53
NR,TOTAL,CH02,2009-01-01,1.53
NR,TOTAL,CH03,2009-01-01,1.43
NR,TOTAL,CH04,2009-01-01,1.51
NR,TOTAL,CH05,2009-01-01,1.46
NR,TOTAL,CH06,2009-01-01,1.52
NR,TOTAL,CH07,2009-01-01,1.35
NR,TOTAL,CY00,2009-01-01,1.47
NR,TOTAL,CZ01,2009-01-01,1.41
NR,TOTAL,CZ02,2009-01-01,1.58
NR,TOTAL,CZ03,2009-01-01,1.51
NR,TOTAL,CZ04,2009-01-01,1.59
NR,TOTAL,CZ05,2009-01-01,1.55
NR,TOTAL,CZ06,2009-01-01,1.48
NR,TOTAL,CZ07,2009-01-01,1.45
NR,TOTAL,CZ08,2009-01-01,1.49
NR,TOTAL,DE11,2009-01-01,1.36
NR,TOTAL,DE12,2009-01-01,1.31
NR,TOTAL,DE13,2009-01-01,1.38
NR,TOTAL,DE14,2009-01-01,1.39
NR,TOTAL,DE21,2009-01-01,1.36
NR,TOTAL,DE22,2009-01-01,1.34
NR,TOTAL,DE23,2009-01-01,1.31
NR,TOTAL,DE24,2009-01-01,1.28
NR,TOTAL,DE25,2009-01-01,1.32
