indic_de,geo,time,values
CNMIGRATRT,AT11,2009-01-01,6.2
CNMIGRATRT,AT12,2009-01-01,3.3
CNMIGRATRT,AT13,2009-01-01,5.4
CNMIGRATRT,AT21,2009-01-01,-0.9
CNMIGRATRT,AT22,2009-01-01,1.8
CNMIGRATRT,AT31,2009-01-01,-0.3
CNMIGRATRT,AT32,2009-01-01,-1.3
CNMIGRATRT,AT33,2009-01-01,1.3
CNMIGRATRT,AT34,2009-01-01,0.4
CNMIGRATRT,BE10,2009-01-01,10.9
CNMIGRATRT,BE21,2009-01-01,5.3
CNMIGRATRT,BE22,2009-01-01,3.9
CNMIGRATRT,BE23,2009-01-01,6.5
CNMIGRATRT,BE24,2009-01-01,5.9
CNMIGRATRT,BE25,2009-01-01,3.8
CNMIGRATRT,BE31,2009-01-01,8
CNMIGRATRT,BE32,2009-01-01,4.2
CNMIGRATRT,BE33,2009-01-01,6.4
CNMIGRATRT,BE34,2009-01-01,6.2
CNMIGRATRT,BE35,2009-01-01,6.4
CNMIGRATRT,BG31,2009-01-01,-9
CNMIGRATRT,BG32,2009-01-01,-6.2
CNMIGRATRT,BG33,2009-01-01,-2.4
CNMIGRATRT,BG34,2009-01-01,-3.9
CNMIGRATRT,BG41,2009-01-01,3.3
CNMIGRATRT,BG42,2009-01-01,-3.5
CNMIGRATRT,CH01,2009-01-01,13.6
CNMIGRATRT,CH02,2009-01-01,5.7
CNMIGRATRT,CH03,2009-01-01,9.5
CNMIGRATRT,CH04,2009-01-01,10.3
CNMIGRATRT,CH05,2009-01-01,6.6
CNMIGRATRT,CH06,2009-01-01,6.1
CNMIGRATRT,CH07,2009-01-01,8.7
CNMIGRATRT,CY00,2009-01-01,22
CNMIGRATRT,CZ01,2009-01-01,9.4
CNMIGRATRT,CZ02,2009-01-01,11.6
CNMIGRATRT,CZ03,2009-01-01,1.9
CNMIGRATRT,CZ04,2009-01-01,-2.2
CNMIGRATRT,CZ05,2009-01-01,0.5
CNMIGRATRT,CZ06,2009-01-01,2
CNMIGRATRT,CZ07,2009-01-01,-0.7
CNMIGRATRT,CZ08,2009-01-01,-2.8
CNMIGRATRT,DE11,2009-01-01,-1
CNMIGRATRT,DE12,2009-01-01,1.7
CNMIGRATRT,DE13,2009-01-01,1
