unit,geo,time,values
PER_KM2,AT11,2008-01-01,76.8
PER_KM2,AT12,2008-01-01,84.5
PER_KM2,AT13,2008-01-01,4230.2
PER_KM2,AT21,2008-01-01,59.7
PER_KM2,AT22,2008-01-01,74.1
PER_KM2,AT31,2008-01-01,120.1
PER_KM2,AT32,2008-01-01,74.6
PER_KM2,AT33,2008-01-01,56
PER_KM2,AT34,2008-01-01,144.6
PER_KM2,BE10,2008-01-01,6574.6
PER_KM2,BE21,2008-01-01,617.3
PER_KM2,BE22,2008-01-01,346.7
PER_KM2,BE23,2008-01-01,480.1
PER_KM2,BE24,2008-01-01,506.9
PER_KM2,BE25,2008-01-01,368.1
PER_KM2,BE31,2008-01-01,343.3
PER_KM2,BE32,2008-01-01,345.2
PER_KM2,BE33,2008-01-01,274.9
PER_KM2,BE34,2008-01-01,59.8
PER_KM2,BE35,2008-01-01,127.7
PER_KM2,BG31,2008-01-01,46.7
PER_KM2,BG32,2008-01-01,59.5
PER_KM2,BG33,2008-01-01,67.5
PER_KM2,BG34,2008-01-01,55.5
PER_KM2,BG41,2008-01-01,104.8
PER_KM2,BG42,2008-01-01,67.3
PER_KM2,CH01,2008-01-01,171.8
PER_KM2,CH02,2008-01-01,176.2
PER_KM2,CH03,2008-01-01,534.8
PER_KM2,CH04,2008-01-01,794.8
PER_KM2,CH05,2008-01-01,95.4
PER_KM2,CH06,2008-01-01,170.6
PER_KM2,CH07,2008-01-01,120.6
PER_KM2,CY00,2008-01-01,85.4
PER_KM2,CZ01,2008-01-01,2482.8
PER_KM2,CZ02,2008-01-01,112.5
PER_KM2,CZ03,2008-01-01,70.1
PER_KM2,CZ04,2008-01-01,133.6
PER_KM2,CZ05,2008-01-01,122.3
PER_KM2,CZ06,2008-01-01,121.1
PER_KM2,CZ07,2008-01-01,134.8
PER_KM2,CZ08,2008-01-01,233.9
PER_KM2,DE11,2008-01-01,379.5
PER_KM2,DE12,2008-01-01,396
PER_KM2,DE13,2008-01-01,234.7
PER_KM2,DE14,2008-01-01,202.6
PER_KM2,DE21,2008-01-01,246.7
PER_KM2,DE22,2008-01-01,115.5
PER_KM2,DE23,2008-01-01,112
PER_KM2,DE24,2008-01-01,150.1
PER_KM2,DE25,2008-01-01,236.5
PER_KM2,DE26,2008-01-01,156
PER_KM2,DE27,2008-01-01,178.9
PER_KM2,DE30,2008-01-01,3842.7
PER_KM2,DE40,2008-01-01,85.8
PER_KM2,DE50,2008-01-01,1638.7
PER_KM2,DE60,2008-01-01,2345.7
PER_KM2,DE71,2008-01-01,508.1
PER_KM2,DE72,2008-01-01,195.3
PER_KM2,DE73,2008-01-01,149
PER_KM2,DE80,2008-01-01,72.1
PER_KM2,DE91,2008-01-01,201.1
PER_KM2,DE92,2008-01-01,238
PER_KM2,DE93,2008-01-01,109.5
PER_KM2,DE94,2008-01-01,165.4
PER_KM2,DEA1,2008-01-01,982.8
PER_KM2,DEA2,2008-01-01,595.9
PER_KM2,DEA3,2008-01-01,377.8
PER_KM2,DEA4,2008-01-01,315.2
PER_KM2,DEA5,2008-01-01,463.8
PER_KM2,DEB1,2008-01-01,186.3
PER_KM2,DEB2,2008-01-01,104.7
PER_KM2,DEB3,2008-01-01,294.5
PER_KM2,DEC0,2008-01-01,402.3
PER_KM2,DED2,2008-01-01,207.1
PER_KM2,DEE0,2008-01-01,117.2
PER_KM2,DEF0,2008-01-01,179.5
PER_KM2,DEG0,2008-01-01,140.9
PER_KM2,DK01,2008-01-01,645.8
PER_KM2,DK02,2008-01-01,112.8
PER_KM2,DK03,2008-01-01,98.1
PER_KM2,DK04,2008-01-01,94.7
PER_KM2,DK05,2008-01-01,73.1
PER_KM2,EE00,2008-01-01,30.8
PER_KM2,EL30,2008-01-01,1049.7
PER_KM2,EL41,2008-01-01,52.1
PER_KM2,EL42,2008-01-01,62.6
PER_KM2,EL43,2008-01-01,73.9
PER_KM2,EL51,2008-01-01,43.2
PER_KM2,EL52,2008-01-01,101.1
PER_KM2,EL53,2008-01-01,31
PER_KM2,EL54,2008-01-01,38
PER_KM2,EL61,2008-01-01,53.2
PER_KM2,EL62,2008-01-01,90.4
PER_KM2,EL63,2008-01-01,62.6
PER_KM2,EL64,2008-01-01,36.1
PER_KM2,EL65,2008-01-01,37.9
PER_KM2,ES11,2008-01-01,94.1
PER_KM2,ES12,2008-01-01,101.5
PER_KM2,ES13,2008-01-01,110.4
PER_KM2,ES21,2008-01-01,301
PER_KM2,ES22,2008-01-01,60.1
PER_KM2,ES23,2008-01-01,63.2
PER_KM2,ES24,2008-01-01,28.1
PER_KM2,ES30,2008-01-01,788.5
PER_KM2,ES41,2008-01-01,27.2
PER_KM2,ES42,2008-01-01,26
PER_KM2,ES43,2008-01-01,26.8
PER_KM2,ES51,2008-01-01,230.4
PER_KM2,ES52,2008-01-01,215
PER_KM2,ES53,2008-01-01,211.7
PER_KM2,ES61,2008-01-01,94.4
PER_KM2,ES62,2008-01-01,126.7
PER_KM2,ES63,2008-01-01,3950.6
PER_KM2,ES64,2008-01-01,5391.8
PER_KM2,ES70,2008-01-01,269.7
PER_KM2,FI19,2008-01-01,23.1
PER_KM2,FI1B,2008-01-01,163.4
PER_KM2,FI1C,2008-01-01,36.3
PER_KM2,FI1D,2008-01-01,6.4
PER_KM2,FI20,2008-01-01,17.6
PER_KM2,FR10,2008-01-01,973.5
PER_KM2,FRB0,2008-01-01,64.8
PER_KM2,FRC1,2008-01-01,51.9
PER_KM2,FRC2,2008-01-01,72
PER_KM2,FRD1,2008-01-01,83.5
PER_KM2,FRD2,2008-01-01,148.5
PER_KM2,FRE1,2008-01-01,324.5
PER_KM2,FRE2,2008-01-01,98.4
PER_KM2,FRF1,2008-01-01,222.2
PER_KM2,FRF2,2008-01-01,52.3
PER_KM2,FRF3,2008-01-01,99.7
PER_KM2,FRG0,2008-01-01,109.9
PER_KM2,FRH0,2008-01-01,116.2
PER_KM2,FRI1,2008-01-01,77.3
PER_KM2,FRI2,2008-01-01,43.8
PER_KM2,FRI3,2008-01-01,68.1
PER_KM2,FRJ1,2008-01-01,94.8
PER_KM2,FRJ2,2008-01-01,62.9
PER_KM2,FRK1,2008-01-01,51.6
PER_KM2,FRK2,2008-01-01,140.6
PER_KM2,FRL0,2008-01-01,155.6
PER_KM2,FRM0,2008-01-01,35.1
PER_KM2,FRY2,2008-01-01,352
PER_KM2,FRY3,2008-01-01,2.7
PER_KM2,FRY4,2008-01-01,324.4
PER_KM2,HR03,2008-01-01,57.2
PER_KM2,HR04,2008-01-01,90.9
PER_KM2,HU11,2008-01-01,3251.2
PER_KM2,HU12,2008-01-01,188.4
PER_KM2,HU21,2008-01-01,99.3
PER_KM2,HU22,2008-01-01,88.1
PER_KM2,HU23,2008-01-01,67.5
PER_KM2,HU31,2008-01-01,91.6
PER_KM2,HU32,2008-01-01,85.1
PER_KM2,HU33,2008-01-01,72.5
PER_KM2,IS00,2008-01-01,3.2
PER_KM2,ITC1,2008-01-01,174.7
PER_KM2,ITC2,2008-01-01,38.9
PER_KM2,ITC3,2008-01-01,295.6
PER_KM2,ITC4,2008-01-01,417
PER_KM2,ITF1,2008-01-01,122.4
PER_KM2,ITF2,2008-01-01,72.6
PER_KM2,ITF3,2008-01-01,429.4
PER_KM2,ITF4,2008-01-01,210.6
PER_KM2,ITF5,2008-01-01,60.1
PER_KM2,ITF6,2008-01-01,133.7
PER_KM2,ITG1,2008-01-01,196.2
PER_KM2,ITG2,2008-01-01,68.7
PER_KM2,ITH1,2008-01-01,66.8
PER_KM2,ITH2,2008-01-01,83.4
PER_KM2,ITH3,2008-01-01,273.5
PER_KM2,ITH4,2008-01-01,161.2
PER_KM2,ITH5,2008-01-01,189.3
PER_KM2,ITI1,2008-01-01,160.1
PER_KM2,ITI2,2008-01-01,105.6
PER_KM2,ITI3,2008-01-01,163.2
PER_KM2,ITI4,2008-01-01,317.9
PER_KM2,LI00,2008-01-01,227.1
PER_KM2,LT01,2008-01-01,87.7
PER_KM2,LT02,2008-01-01,44.5
PER_KM2,LU00,2008-01-01,189
PER_KM2,LV00,2008-01-01,35
PER_KM2,ME00,2008-01-01,45.5
PER_KM2,MK00,2008-01-01,82.2
PER_KM2,MT00,2008-01-01,1295.5
PER_KM2,NL11,2008-01-01,245.9
PER_KM2,NL12,2008-01-01,192.7
PER_KM2,NL13,2008-01-01,185.2
PER_KM2,NL21,2008-01-01,337.6
PER_KM2,NL22,2008-01-01,399.8
PER_KM2,NL23,2008-01-01,268.8
PER_KM2,NL31,2008-01-01,870.8
PER_KM2,NL32,2008-01-01,987
PER_KM2,NL33,2008-01-01,1233.3
PER_KM2,NL34,2008-01-01,213.1
PER_KM2,NL41,2008-01-01,494.2
PER_KM2,NL42,2008-01-01,522.2
PER_KM2,NO01,2008-01-01,216.2
PER_KM2,NO02,2008-01-01,7.5
PER_KM2,NO03,2008-01-01,27
PER_KM2,NO04,2008-01-01,29.2
PER_KM2,NO05,2008-01-01,17.5
PER_KM2,NO06,2008-01-01,10.7
PER_KM2,NO07,2008-01-01,4.3
PER_KM2,PL21,2008-01-01,216.1
PER_KM2,PL22,2008-01-01,377.1
PER_KM2,PL41,2008-01-01,113.7
PER_KM2,PL42,2008-01-01,73.9
PER_KM2,PL43,2008-01-01,72.1
PER_KM2,PL51,2008-01-01,144.3
PER_KM2,PL52,2008-01-01,110
PER_KM2,PL61,2008-01-01,115
PER_KM2,PL62,2008-01-01,59
PER_KM2,PL63,2008-01-01,121.1
PER_KM2,PT11,2008-01-01,174.6
PER_KM2,PT15,2008-01-01,87.5
PER_KM2,PT16,2008-01-01,83.1
PER_KM2,PT17,2008-01-01,946.9
PER_KM2,PT18,2008-01-01,24.3
PER_KM2,PT20,2008-01-01,106.2
PER_KM2,PT30,2008-01-01,329.9
PER_KM2,RO11,2008-01-01,80.9
PER_KM2,RO12,2008-01-01,74.8
PER_KM2,RO21,2008-01-01,103
PER_KM2,RO22,2008-01-01,90.8
PER_KM2,RO31,2008-01-01,98.3
PER_KM2,RO32,2008-01-01,1277.7
PER_KM2,RO41,2008-01-01,79.5
PER_KM2,RO42,2008-01-01,61
PER_KM2,SE11,2008-01-01,301.5
PER_KM2,SE12,2008-01-01,39.9
PER_KM2,SE21,2008-01-01,24.2
PER_KM2,SE22,2008-01-01,97.2
PER_KM2,SE23,2008-01-01,62.7
PER_KM2,SE31,2008-01-01,12.9
PER_KM2,SE32,2008-01-01,5.2
PER_KM2,SE33,2008-01-01,3.3
PER_KM2,SI03,2008-01-01,88.6
PER_KM2,SI04,2008-01-01,118.9
PER_KM2,SK01,2008-01-01,289.3
PER_KM2,SK02,2008-01-01,123.1
PER_KM2,SK03,2008-01-01,83
PER_KM2,SK04,2008-01-01,101.1
PER_KM2,TR10,2008-01-01,2431.7
PER_KM2,TR21,2008-01-01,79.3
PER_KM2,TR22,2008-01-01,66
PER_KM2,TR31,2008-01-01,313.7
PER_KM2,TR32,2008-01-01,81.7
PER_KM2,TR33,2008-01-01,65.4
PER_KM2,TR41,2008-01-01,119.2
PER_KM2,TR42,2008-01-01,153.2
PER_KM2,TR51,2008-01-01,183.8
PER_KM2,TR52,2008-01-01,45.9
PER_KM2,TR61,2008-01-01,69.4
PER_KM2,TR62,2008-01-01,123
PER_KM2,TR63,2008-01-01,123.4
PER_KM2,TR71,2008-01-01,47.7
PER_KM2,TR72,2008-01-01,38.5
PER_KM2,TR81,2008-01-01,107.3
PER_KM2,TR82,2008-01-01,27.8
PER_KM2,TR83,2008-01-01,72.6
PER_KM2,TR90,2008-01-01,71
PER_KM2,TRA1,2008-01-01,26.3
PER_KM2,TRA2,2008-01-01,37.9
PER_KM2,TRB1,2008-01-01,44.9
PER_KM2,TRB2,2008-01-01,47.6
PER_KM2,TRC1,2008-01-01,149.9
PER_KM2,TRC2,2008-01-01,89.5
PER_KM2,TRC3,2008-01-01,74.6
PER_KM2,UKC1,2008-01-01,385.3
PER_KM2,UKC2,2008-01-01,253.1
PER_KM2,UKD1,2008-01-01,74
PER_KM2,UKD3,2008-01-01,2053.2
PER_KM2,UKD4,2008-01-01,471.9
PER_KM2,UKD6,2008-01-01,395.1
PER_KM2,UKD7,2008-01-01,2061
PER_KM2,UKE1,2008-01-01,259.1
PER_KM2,UKE2,2008-01-01,94.5
PER_KM2,UKE3,2008-01-01,847.7
PER_KM2,UKE4,2008-01-01,1076.3
PER_KM2,UKF1,2008-01-01,432.6
PER_KM2,UKF2,2008-01-01,340.6
PER_KM2,UKF3,2008-01-01,118.3
PER_KM2,UKG1,2008-01-01,217.3
PER_KM2,UKG2,2008-01-01,249.5
PER_KM2,UKG3,2008-01-01,2956
PER_KM2,UKH1,2008-01-01,185.6
PER_KM2,UKH2,2008-01-01,583.7
PER_KM2,UKH3,2008-01-01,461.5
PER_KM2,UKI3,2008-01-01,9839.9
PER_KM2,UKI4,2008-01-01,9563.8
PER_KM2,UKI5,2008-01-01,3879.1
PER_KM2,UKI6,2008-01-01,3357.2
PER_KM2,UKI7,2008-01-01,4015.4
PER_KM2,UKJ1,2008-01-01,385.2
PER_KM2,UKJ2,2008-01-01,491.5
PER_KM2,UKJ3,2008-01-01,447.4
PER_KM2,UKJ4,2008-01-01,449.9
PER_KM2,UKK1,2008-01-01,308
PER_KM2,UKK2,2008-01-01,205.1
PER_KM2,UKK3,2008-01-01,147.9
PER_KM2,UKK4,2008-01-01,167.5
PER_KM2,UKL1,2008-01-01,146.3
PER_KM2,UKL2,2008-01-01,145.1
PER_KM2,UKM5,2008-01-01,71
PER_KM2,UKM6,2008-01-01,11.4
PER_KM2,UKN0,2008-01-01,131.1
PER_KM2,AT11,2009-01-01,77.2
PER_KM2,AT12,2009-01-01,84.8
PER_KM2,AT13,2009-01-01,4253.9
PER_KM2,AT21,2009-01-01,59.7
PER_KM2,AT22,2009-01-01,74.1
PER_KM2,AT31,2009-01-01,120.2
PER_KM2,AT32,2009-01-01,74.7
PER_KM2,AT33,2009-01-01,56.2
PER_KM2,AT34,2009-01-01,145.1
PER_KM2,BE10,2009-01-01,6702.1
PER_KM2,BE21,2009-01-01,622.5
PER_KM2,BE22,2009-01-01,349.1
PER_KM2,BE23,2009-01-01,484.2
PER_KM2,BE24,2009-01-01,510.9
PER_KM2,BE25,2009-01-01,369.5
PER_KM2,BE31,2009-01-01,346.1
PER_KM2,BE32,2009-01-01,346.5
PER_KM2,BE33,2009-01-01,276.7
PER_KM2,BE34,2009-01-01,60.4
PER_KM2,BE35,2009-01-01,128.7
PER_KM2,BG31,2009-01-01,45.8
PER_KM2,BG32,2009-01-01,58.7
PER_KM2,BG33,2009-01-01,67.2
PER_KM2,BG34,2009-01-01,55.1
PER_KM2,BG41,2009-01-01,105
PER_KM2,BG42,2009-01-01,66.9
PER_KM2,CH01,2009-01-01,175.1
PER_KM2,CH02,2009-01-01,177.5
PER_KM2,CH03,2009-01-01,541.2
PER_KM2,CH04,2009-01-01,808
PER_KM2,CH05,2009-01-01,96.3
PER_KM2,CH06,2009-01-01,172.6
PER_KM2,CH07,2009-01-01,121.9
PER_KM2,CY00,2009-01-01,87.7
PER_KM2,CZ01,2009-01-01,2516.5
PER_KM2,CZ02,2009-01-01,114.6
PER_KM2,CZ03,2009-01-01,70.6
PER_KM2,CZ04,2009-01-01,133.8
PER_KM2,CZ05,2009-01-01,122.8
PER_KM2,CZ06,2009-01-01,121.7
PER_KM2,CZ07,2009-01-01,134.9
PER_KM2,CZ08,2009-01-01,233.6
