unit,age,sex,geo,time,values
NR,TOTAL,T,AT11,2010-01-01,283697
NR,TOTAL,T,AT12,2010-01-01,1605897
NR,TOTAL,T,AT13,2010-01-01,1689995
NR,TOTAL,T,AT21,2010-01-01,557998
NR,TOTAL,T,AT22,2010-01-01,1205045
NR,TOTAL,T,AT31,2010-01-01,1409253
NR,TOTAL,T,AT32,2010-01-01,526730
NR,TOTAL,T,AT33,2010-01-01,704662
NR,TOTAL,T,AT34,2010-01-01,368366
NR,TOTAL,T,BE10,2010-01-01,1089538
NR,TOTAL,T,BE21,2010-01-01,1744862
NR,TOTAL,T,BE22,2010-01-01,838505
NR,TOTAL,T,BE23,2010-01-01,1432326
NR,TOTAL,T,BE24,2010-01-01,1076924
NR,TOTAL,T,BE25,2010-01-01,1159366
NR,TOTAL,T,BE31,2010-01-01,379515
NR,TOTAL,T,BE32,2010-01-01,1309880
NR,TOTAL,T,BE33,2010-01-01,1067685
NR,TOTAL,T,BE34,2010-01-01,269023
NR,TOTAL,T,BE35,2010-01-01,472281
NR,TOTAL,T,BG31,2010-01-01,865332
NR,TOTAL,T,BG32,2010-01-01,873801
NR,TOTAL,T,BG33,2010-01-01,971932
NR,TOTAL,T,BG34,2010-01-01,1087181
NR,TOTAL,T,BG41,2010-01-01,2132634
NR,TOTAL,T,BG42,2010-01-01,1490886
NR,TOTAL,T,CH01,2010-01-01,1462210
NR,TOTAL,T,CH02,2010-01-01,1741923
NR,TOTAL,T,CH03,2010-01-01,1060753
NR,TOTAL,T,CH04,2010-01-01,1351297
NR,TOTAL,T,CH05,2010-01-01,1094202
NR,TOTAL,T,CH06,2010-01-01,739701
NR,TOTAL,T,CH07,2010-01-01,335720
NR,TOTAL,T,CY00,2010-01-01,819140
NR,TOTAL,T,CZ01,2010-01-01,1227932
NR,TOTAL,T,CZ02,2010-01-01,1247330
NR,TOTAL,T,CZ03,2010-01-01,1205834
NR,TOTAL,T,CZ04,2010-01-01,1133425
NR,TOTAL,T,CZ05,2010-01-01,1506467
NR,TOTAL,T,CZ06,2010-01-01,1671993
NR,TOTAL,T,CZ07,2010-01-01,1229931
NR,TOTAL,T,CZ08,2010-01-01,1239176
NR,TOTAL,T,DE11,2010-01-01,4000848
NR,TOTAL,T,DE12,2010-01-01,2740503
NR,TOTAL,T,DE13,2010-01-01,2196018
NR,TOTAL,T,DE14,2010-01-01,1807552
NR,TOTAL,T,DE21,2010-01-01,4346465
NR,TOTAL,T,DE22,2010-01-01,1189194
NR,TOTAL,T,DE23,2010-01-01,1081417
NR,TOTAL,T,DE24,2010-01-01,1076400
NR,TOTAL,T,DE25,2010-01-01,1710145
NR,TOTAL,T,DE26,2010-01-01,1321957
NR,TOTAL,T,DE27,2010-01-01,1784753
NR,TOTAL,T,DE30,2010-01-01,3442675
NR,TOTAL,T,DE40,2010-01-01,2511525
NR,TOTAL,T,DE50,2010-01-01,661716
NR,TOTAL,T,DE60,2010-01-01,1774224
NR,TOTAL,T,DE71,2010-01-01,3792941
NR,TOTAL,T,DE72,2010-01-01,1044269
NR,TOTAL,T,DE73,2010-01-01,1224741
NR,TOTAL,T,DE80,2010-01-01,1651216
NR,TOTAL,T,DE91,2010-01-01,1616720
NR,TOTAL,T,DE92,2010-01-01,2142440
NR,TOTAL,T,DE93,2010-01-01,1693654
NR,TOTAL,T,DE94,2010-01-01,2476001
NR,TOTAL,T,DEA1,2010-01-01,5172839
NR,TOTAL,T,DEA2,2010-01-01,4383044
NR,TOTAL,T,DEA3,2010-01-01,2597636
NR,TOTAL,T,DEA4,2010-01-01,2043212
NR,TOTAL,T,DEA5,2010-01-01,3676032
NR,TOTAL,T,DEB1,2010-01-01,1490711
NR,TOTAL,T,DEB2,2010-01-01,513794
NR,TOTAL,T,DEB3,2010-01-01,2008170
NR,TOTAL,T,DEC0,2010-01-01,1022585
NR,TOTAL,T,DED2,2010-01-01,1631486
NR,TOTAL,T,DEE0,2010-01-01,2356219
NR,TOTAL,T,DEF0,2010-01-01,2832027
NR,TOTAL,T,DEG0,2010-01-01,2249882
NR,TOTAL,T,DK01,2010-01-01,1680271
NR,TOTAL,T,DK02,2010-01-01,820564
NR,TOTAL,T,DK03,2010-01-01,1200277
NR,TOTAL,T,DK04,2010-01-01,1253998
NR,TOTAL,T,DK05,2010-01-01,579628
NR,TOTAL,T,EE00,2010-01-01,1333290
NR,TOTAL,T,EL30,2010-01-01,4002871
NR,TOTAL,T,EL41,2010-01-01,200179
NR,TOTAL,T,EL42,2010-01-01,332652
NR,TOTAL,T,EL43,2010-01-01,623113
NR,TOTAL,T,EL51,2010-01-01,610112
NR,TOTAL,T,EL52,2010-01-01,1921906
NR,TOTAL,T,EL53,2010-01-01,286450
NR,TOTAL,T,EL54,2010-01-01,345960
NR,TOTAL,T,EL61,2010-01-01,746976
NR,TOTAL,T,EL62,2010-01-01,208675
NR,TOTAL,T,EL63,2010-01-01,692269
NR,TOTAL,T,EL64,2010-01-01,559655
NR,TOTAL,T,EL65,2010-01-01,588471
NR,TOTAL,T,ES11,2010-01-01,2772466
NR,TOTAL,T,ES12,2010-01-01,1077102
NR,TOTAL,T,ES13,2010-01-01,588512
NR,TOTAL,T,ES21,2010-01-01,2179521
NR,TOTAL,T,ES22,2010-01-01,633023
NR,TOTAL,T,ES23,2010-01-01,319934
NR,TOTAL,T,ES24,2010-01-01,1344181
NR,TOTAL,T,ES30,2010-01-01,6373546
NR,TOTAL,T,ES41,2010-01-01,2547401
NR,TOTAL,T,ES42,2010-01-01,2084468
NR,TOTAL,T,ES43,2010-01-01,1099610
NR,TOTAL,T,ES51,2010-01-01,7463488
NR,TOTAL,T,ES52,2010-01-01,4989631
NR,TOTAL,T,ES53,2010-01-01,1083679
NR,TOTAL,T,ES61,2010-01-01,8276008
NR,TOTAL,T,ES62,2010-01-01,1453543
NR,TOTAL,T,ES63,2010-01-01,79294
NR,TOTAL,T,ES64,2010-01-01,76049
NR,TOTAL,T,ES70,2010-01-01,2045163
NR,TOTAL,T,FI19,2010-01-01,1355168
NR,TOTAL,T,FI1B,2010-01-01,1517542
NR,TOTAL,T,FI1C,2010-01-01,1153839
NR,TOTAL,T,FI1D,2010-01-01,1297144
NR,TOTAL,T,FI20,2010-01-01,27734
NR,TOTAL,T,FR10,2010-01-01,11786234
NR,TOTAL,T,FRB0,2010-01-01,2548065
NR,TOTAL,T,FRC1,2010-01-01,1642115
NR,TOTAL,T,FRC2,2010-01-01,1171763
NR,TOTAL,T,FRD1,2010-01-01,1473494
NR,TOTAL,T,FRD2,2010-01-01,1836954
NR,TOTAL,T,FRE1,2010-01-01,4038157
NR,TOTAL,T,FRE2,2010-01-01,1914844
NR,TOTAL,T,FRF1,2010-01-01,1845687
NR,TOTAL,T,FRF2,2010-01-01,1335923
NR,TOTAL,T,FRF3,2010-01-01,2350920
NR,TOTAL,T,FRG0,2010-01-01,3571495
NR,TOTAL,T,FRH0,2010-01-01,3199066
NR,TOTAL,T,FRI1,2010-01-01,3232352
NR,TOTAL,T,FRI2,2010-01-01,742771
NR,TOTAL,T,FRI3,2010-01-01,1770363
NR,TOTAL,T,FRJ1,2010-01-01,2636350
NR,TOTAL,T,FRJ2,2010-01-01,2881756
NR,TOTAL,T,FRK1,2010-01-01,1347387
NR,TOTAL,T,FRK2,2010-01-01,6230691
NR,TOTAL,T,FRL0,2010-01-01,4899155
NR,TOTAL,T,FRM0,2010-01-01,309693
NR,TOTAL,T,FRY2,2010-01-01,394173
NR,TOTAL,T,FRY3,2010-01-01,229040
NR,TOTAL,T,FRY4,2010-01-01,821136
NR,TOTAL,T,HR03,2010-01-01,1415971
NR,TOTAL,T,HR04,2010-01-01,2886876
NR,TOTAL,T,HU11,2010-01-01,1721556
NR,TOTAL,T,HU12,2010-01-01,1229880
NR,TOTAL,T,HU21,2010-01-01,1098654
NR,TOTAL,T,HU22,2010-01-01,996390
NR,TOTAL,T,HU23,2010-01-01,947986
NR,TOTAL,T,HU31,2010-01-01,1209142
